dataset,seed,arm,n,ops,mean_ms,p95_ms,insert_ms,delete_ms,move_ms,peak_rss_bytes,fallback_pct
chain_noise,42,guarded,50000,150,18.747508826666664,28.061793899999994,18.293981095238095,17.595999163636364,20.301871018867924,92192768,0.0
chain_noise,42,always_full_relabel,50000,150,27.629420540000005,28.94024795,27.481139904761903,27.535307563636362,27.844590358490567,89964544,0.0
chain_noise,42,no_guard,50000,150,5.553931599999999,14.368323249999994,5.118987047619048,4.509226472727272,6.982732603773584,101531648,0.0
chain_noise,42,full_rebuild,50000,150,140.25555146,143.08275204999998,142.09882152380953,139.54903338181816,139.5280260188679,101335040,0.0
chain_noise,43,guarded,50000,150,19.074700240000002,27.7346897,18.171573529411763,18.197229530612244,20.855810780000002,94896128,0.0
chain_noise,43,always_full_relabel,50000,150,28.899289133333333,30.92706875,28.06940274509804,28.349903897959184,30.28417078,93454336,0.0
chain_noise,43,no_guard,50000,150,5.829975266666667,14.18366265,4.940220549019608,4.99478912244898,7.5560075,100007936,0.0
chain_noise,43,full_rebuild,50000,150,138.63507583333333,141.9781859,138.33294525490197,138.6719693877551,138.90709334000002,98091008,0.0
varying_density,42,guarded,50000,150,18.646508360000002,26.19905,17.878552476190478,17.900291036363637,20.02945364150943,97140736,0.0
varying_density,42,always_full_relabel,50000,150,27.30173635333334,28.3966667,27.04139676190476,27.202228836363634,27.611305716981132,95928320,0.0
varying_density,42,no_guard,50000,150,5.462521073333334,12.425991699999988,4.764690428571428,4.737402272727272,6.768000716981133,94732288,0.0
varying_density,42,full_rebuild,50000,150,140.67775304666668,144.62279389999998,140.83635816666666,140.7888817818182,140.4367436981132,100122624,0.0
varying_density,43,guarded,50000,150,20.18837476666667,28.05393764999998,18.86992896078431,18.99812842857143,22.6996309,94044160,0.0
varying_density,43,always_full_relabel,50000,150,28.02841417333334,28.768234,27.88070825490196,27.94901281632653,28.256887539999997,85770240,0.0
varying_density,43,no_guard,50000,150,5.667532473333334,12.9864314,5.092640470588235,4.63959012244898,7.2613058200000005,99975168,0.0
varying_density,43,full_rebuild,50000,150,140.38703411333336,144.4350212,140.36395988235296,140.39567340816328,140.40210331999998,100139008,0.0
touching,42,guarded,50000,150,20.028440853333336,22.3978856,19.73710516666667,19.557766672727272,20.747746113207548,103317504,0.0
touching,42,always_full_relabel,50000,150,37.36399748666667,38.90622095,36.726066476190475,37.668788672727274,37.55323498113208,94388224,0.0
touching,42,no_guard,50000,150,6.722919106666667,8.921514799999999,6.644841166666667,6.138550018181818,7.391212943396226,95404032,0.0
touching,42,full_rebuild,50000,150,141.23440416666668,145.21669839999998,140.68302783333334,141.4195825818182,141.47917762264152,97402880,0.0
touching,43,guarded,50000,150,20.603995253333334,22.800616299999998,20.58542723529412,19.91253742857143,21.3005633,93601792,0.0
touching,43,always_full_relabel,50000,150,39.89434244666667,40.62473925,40.98464698039216,39.15044212244898,39.51125414,93388800,0.0
touching,43,no_guard,50000,150,6.765795006666667,8.713093599999999,6.6969011568627455,6.165060387755102,7.4247866600000005,96370688,0.0
touching,43,full_rebuild,50000,150,136.93474999333333,139.98736875,136.75481858823528,136.9431046734694,137.11009244,99778560,0.0
