candidate_index,threshold,selected,nontrivial,active_points,edge_count,retained_edges,retained_edge_pct,num_clusters,noise_count,noise_pct,largest_cluster,largest_cluster_pct,component_entropy,base_objective,stability_adjustment,plateau_width_candidates,plateau_center_offset,largest_jump_before_pct,largest_jump_after_pct,noise_drop_after_pct,objective
0,0.88731695851935288,0,0,1450,4333,1517,35.010385414262636,31,914,63.03448275862069,35,2.4137931034482758,0.46969760009499362,-0.14281984906984757,0.013000000000000001,1,0,0,1.5862068965517242,21.310344827586206,-0.12981984906984756
1,0.91402645730326737,0,0,1450,4333,1625,37.502884837295177,39,605,41.724137931034484,58,4,0.65136422907133029,0.10579772141145329,0.010610344827586207,1,0,1.5862068965517242,4.5517241379310347,16.758620689655174,0.11640806623903949
2,0.93312435498293211,0,1,1450,4333,1733,39.995384260327718,37,362,24.96551724137931,124,8.5517241379310338,0.7560714052908335,0.29785029567988974,0.0062655172413793106,1,0,4.5517241379310347,17.862068965517242,11.517241379310345,0.30411581292126905
3,0.95686171526203512,0,1,1450,4333,1842,42.510962381721669,25,195,13.448275862068966,383,26.413793103448278,0.69338820100495135,0.43002682179324642,-0.010172413793103447,1,0,17.862068965517242,9.1724137931034484,8.4137931034482758,0.41985440800014295
4,0.98127907419901605,1,1,1450,4333,1950,45.00346180475421,14,73,5.0344827586206895,516,35.586206896551722,0.60750432670387722,0.54792800995454349,-0.01125862068965517,1,0,9.1724137931034484,35.517241379310342,1.1724137931034484,0.53666938926488827
5,0.99899289875458375,0,1,1450,4333,2058,47.495961227786751,6,56,3.8620689655172415,1031,71.103448275862064,0.43286041612243892,0.43933546314712707,-0.03238275862068965,1,0,35.517241379310342,24.344827586206897,1.5862068965517242,0.40695270452643739
6,1.0110662471104239,0,1,1450,4333,2167,50.011539349180708,3,33,2.2758620689655173,1384,95.448275862068968,0.13202382647658317,0.10716464302930791,-0.032424137931034477,1,0,24.344827586206897,2.8275862068965516,1.3103448275862069,0.07474050509827343
7,1.0317449356994013,0,1,1450,4333,2275,52.504038772213249,2,14,0.96551724137931039,1425,98.275862068965523,0.078083523517895478,0.084226159618466606,-0.021682758620689656,2,-0.5,2.8275862068965516,0.20689655172413793,0.20689655172413793,0.062543400997776943
8,1.0525591645652925,0,1,1450,4333,2383,54.99653819524579,2,11,0.75862068965517238,1428,98.482758620689651,0.075147409817820976,0.080949982368030193,0.0042000000000000006,2,0.5,0.20689655172413793,1.3793103448275863,0.62068965517241381,0.085149982368030189
9,1.0725027043405868,0,0,1450,4333,2491,57.489037618278331,1,2,0.13793103448275862,1448,99.862068965517238,0.0013783586586564461,-1.4156229127876918,0.015865517241379311,8,-3.5,1.3793103448275863,0.13793103448275862,0.13793103448275862,-1.3997573955463125
10,1.0970935357370601,0,0,1450,4333,2600,60.004615739672282,1,0,0,1450,100,0,-1.41768783534557,0.018701970443349755,8,-2.5,0.13793103448275862,0,0,-1.3989858649022202
11,1.1245469329983406,0,0,1450,4333,2708,62.497115162704823,1,0,0,1450,100,0,-1.41768783534557,0.023048768472906406,8,-1.5,0,0,0,-1.3946390668726636
12,1.1481029138801904,0,0,1450,4333,2816,64.989614585737371,1,0,0,1450,100,0,-1.41768783534557,0.026071428571428572,8,-0.5,0,0,0,-1.3916164067741414
13,1.1735855028533422,0,0,1450,4333,2925,67.505192707131314,1,0,0,1450,100,0,-1.41768783534557,0.026071428571428572,8,0.5,0,0,0,-1.3916164067741414
14,1.2007164585711794,0,0,1450,4333,3033,69.997692130163855,1,0,0,1450,100,0,-1.41768783534557,0.023183035714285715,8,1.5,0,0,0,-1.3945047996312843
15,1.2311195450174708,0,0,1450,4333,3141,72.490191553196397,1,0,0,1450,100,0,-1.41768783534557,0.019899917709483531,8,2.5,0,0,0,-1.3977879176360863
16,1.2598654598926891,0,0,1450,4333,3250,75.005769674590354,1,0,0,1450,100,0,-1.41768783534557,0.016074307239579418,8,3.5,0,0,0,-1.4016135281059905
