dataset,seed,variant,threshold,selected_index,default_index,changed_threshold,ari_truth,ari_default,clusters,noise_count
moons,42,default,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,42,coverage_0.8,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,42,coverage_1.2,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,42,entropy_0.8,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,42,entropy_1.2,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,42,largest_0.8,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,42,largest_1.2,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,42,giant_excess_0.8,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,42,giant_excess_1.2,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,42,noise_excess_0.8,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,42,noise_excess_1.2,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,42,log_clusters_0.8,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,42,log_clusters_1.2,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,42,fragmentation_0.8,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,42,fragmentation_1.2,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,42,fewer_than_two_0.8,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,42,fewer_than_two_1.2,1.2260396597273198,15,15,False,1.0,1.0,2,0
moons,43,default,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,43,coverage_0.8,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,43,coverage_1.2,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,43,entropy_0.8,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,43,entropy_1.2,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,43,largest_0.8,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,43,largest_1.2,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,43,giant_excess_0.8,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,43,giant_excess_1.2,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,43,noise_excess_0.8,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,43,noise_excess_1.2,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,43,log_clusters_0.8,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,43,log_clusters_1.2,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,43,fragmentation_0.8,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,43,fragmentation_1.2,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,43,fewer_than_two_0.8,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,43,fewer_than_two_1.2,1.0708848311719066,9,9,False,0.9706970672117613,1.0,3,2
moons,44,default,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,44,coverage_0.8,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,44,coverage_1.2,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,44,entropy_0.8,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,44,entropy_1.2,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,44,largest_0.8,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,44,largest_1.2,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,44,giant_excess_0.8,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,44,giant_excess_1.2,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,44,noise_excess_0.8,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,44,noise_excess_1.2,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,44,log_clusters_0.8,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,44,log_clusters_1.2,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,44,fragmentation_0.8,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,44,fragmentation_1.2,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,44,fewer_than_two_0.8,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,44,fewer_than_two_1.2,1.234350486958342,15,15,False,1.0,1.0,2,0
moons,45,default,1.1969735350162642,14,14,False,1.0,1.0,2,0
moons,45,coverage_0.8,1.1969735350162642,14,14,False,1.0,1.0,2,0
moons,45,coverage_1.2,1.1969735350162642,14,14,False,1.0,1.0,2,0
moons,45,entropy_0.8,1.1969735350162642,14,14,False,1.0,1.0,2,0
moons,45,entropy_1.2,1.1969735350162642,14,14,False,1.0,1.0,2,0
moons,45,largest_0.8,1.1969735350162642,14,14,False,1.0,1.0,2,0
moons,45,largest_1.2,1.1969735350162642,14,14,False,1.0,1.0,2,0
moons,45,giant_excess_0.8,1.1969735350162642,14,14,False,1.0,1.0,2,0
