candidate_index,threshold,selected,nontrivial,active_points,edge_count,retained_edges,retained_edge_pct,num_clusters,noise_count,noise_pct,largest_cluster,largest_cluster_pct,component_entropy,base_objective,stability_adjustment,plateau_width_candidates,plateau_center_offset,largest_jump_before_pct,largest_jump_after_pct,noise_drop_after_pct,objective
0,0.88488375868549962,0,0,1200,3579,1253,35.009779267951942,25,763,63.583333333333336,34,2.8333333333333335,0.4713086104163583,-0.11183595844841909,0.012150000000000001,1,0,0,2.833333333333333,14.333333333333334,-0.099685958448419099
1,0.91354663861768159,0,0,1200,3579,1342,37.496507404302875,30,591,49.25,68,5.666666666666667,0.58991272430124919,0.058586722759241962,0.0088249999999999995,1,0,2.833333333333333,0.25,14.833333333333334,0.067411722759241954
2,0.93549788045016291,0,1,1200,3579,1432,40.011176306230787,33,413,34.416666666666664,71,5.916666666666667,0.71019628901898213,0.22223099366668433,0.0081624999999999996,1,0,0.25,1.1666666666666667,10.416666666666668,0.23039349366668432
3,0.95482522623930832,0,1,1200,3579,1521,42.497904442581728,28,288,24,85,7.083333333333333,0.78409053408856566,0.37168206425836886,0.010200000000000001,1,0,1.1666666666666667,1.4166666666666665,10.666666666666668,0.38188206425836885
4,0.97278945358744162,0,1,1200,3579,1611,45.01257334450964,24,160,13.333333333333334,102,8.5,0.8498996595334416,0.51313931790255463,0.0088500000000000002,1,0,1.4166666666666665,1,3.6666666666666665,0.52198931790255465
5,0.99246079465278869,0,1,1200,3579,1700,47.499301480860574,18,116,9.6666666666666661,114,9.5,0.87515444677578202,0.60771105752943455,0.0086875000000000008,1,0,1,21.666666666666668,2.5833333333333335,0.61639855752943451
6,1.0099998143517794,0,1,1200,3579,1790,50.013970382788486,9,85,7.083333333333333,374,31.166666666666668,0.81905082498658799,0.6817098061609943,-0.015312499999999998,1,0,21.666666666666668,11.333333333333332,4.583333333333333,0.66639730616099435
7,1.0321429589016717,0,1,1200,3579,1879,52.500698519139426,7,30,2.5,510,42.5,0.75205288347579247,0.69171439193509865,-0.018437499999999999,2,-0.5,11.333333333333332,0.25,0.41666666666666669,0.67327689193509865
8,1.0527800824965812,0,1,1200,3579,1968,54.98742665549036,7,25,2.0833333333333335,513,42.75,0.75223248466745696,0.69415152318551454,-0.0058624999999999997,2,0.5,0.25,1.5833333333333335,1.5833333333333335,0.68828902318551455
9,1.0778121315510287,0,1,1200,3579,2058,57.502095557418272,4,6,0.5,532,44.333333333333336,0.79058158787400645,0.78121259563378609,0.0081374999999999989,1,0,1.5833333333333335,5.6666666666666661,0.25,0.78935009563378611
10,1.0986006160207331,0,1,1200,3579,2147,59.988823693769213,3,3,0.25,600,50,0.78747425360278656,0.78814181529761518,0.0007000000000000001,4,-1.5,5.6666666666666661,0,0,0.78884181529761521
11,1.1250176169291966,0,1,1200,3579,2237,62.503492595697125,3,3,0.25,600,50,0.78747425360278656,0.78814181529761518,0.0073666666666666681,4,-0.5,0,0,0,0.79550848196428181
12,1.1488062346084464,0,1,1200,3579,2326,64.990220732048058,3,3,0.25,600,50,0.78747425360278656,0.78814181529761518,0.014191666666666668,4,0.5,0,0,0.16666666666666669,0.80233348196428189
13,1.1699926456261713,0,1,1200,3579,2416,67.504889633975978,3,1,0.083333333333333329,600,50,0.79035737621329816,0.7904842415446276,0.0074999999999999997,4,1.5,0,0,0,0.79798424154462755
14,1.1998589931724368,0,1,1200,3579,2505,69.991617770326911,2,1,0.083333333333333329,600,50,1,0.90138328710757443,0.0049812500000000004,3,-1,0,0,0.083333333333333343,0.90636453710757447
15,1.2343504869583419,1,1,1200,3579,2595,72.506286672254816,2,0,0,600,50,1,0.90204995377424102,0.014541809825397734,3,0,0,0,0,0.91659176359963879
16,1.263531479511051,0,1,1200,3579,2684,74.99301480860575,2,0,0,600,50,1,0.90204995377424102,0.0035758376374525236,3,1,0,0,0,0.90562579141169353
